AUDITORIA ESTRUCTURAL — Bloque A: foreign_keys
Generado: 2026-06-19T07:07:05.752Z
Filas: 229
================================================================================

column_name	foreign_column_name	foreign_table_name	table_name
--------------------------------------------------------------------------------
student_id	id	students	allergies
padre_id	id	perfiles_padres	alumnos
school_id	id	schools	assets_inventory
id_cobranza	id	recharge_requests	auditoria_vouchers
school_id	id	schools	auditoria_vouchers
school_id	id	schools	auto_billing_logs
school_id	id	schools	billing_config
updated_by	id	profiles	billing_config
billing_period_id	id	billing_periods	billing_messages
created_by	id	profiles	billing_messages
parent_id	user_id	parent_profiles	billing_messages
school_id	id	schools	billing_messages
school_id	id	schools	billing_negative_alerts
billing_period_id	id	billing_periods	billing_payments
created_by	id	profiles	billing_payments
parent_id	user_id	parent_profiles	billing_payments
school_id	id	schools	billing_payments
student_id	id	students	billing_payments
created_by	id	profiles	billing_periods
school_id	id	schools	billing_periods
recharge_request_id	id	recharge_requests	billing_queue
school_id	id	schools	billing_queue
student_id	id	students	billing_queue
transaction_id	id	transactions	billing_queue
product_id	id	products	branch_supply_receipt_items
receipt_id	id	branch_supply_receipts	branch_supply_receipt_items
uom_id	id	product_packaging	branch_supply_receipt_items
replaces_receipt_id	id	branch_supply_receipts	branch_supply_receipts
school_id	id	schools	branch_supply_receipts
supplier_id	id	suppliers	branch_supply_receipts
school_id	id	schools	cancellation_alerts
admin_validated_by	id	profiles	cash_closures
cash_register_id	id	cash_registers	cash_closures
closed_by	id	profiles	cash_closures
school_id	id	schools	cash_closures
cash_session_id	id	cash_sessions	cash_manual_entries
school_id	id	schools	cash_manual_entries
cash_register_id	id	cash_registers	cash_movements
created_by	id	profiles	cash_movements
responsible_id	id	profiles	cash_movements
school_id	id	schools	cash_movements
cash_session_id	id	cash_sessions	cash_reconciliations
school_id	id	schools	cash_reconciliations
school_id	id	schools	cash_register_config
closed_by	id	profiles	cash_registers
opened_by	id	profiles	cash_registers
school_id	id	schools	cash_registers
school_id	id	schools	cash_sessions
empadronado_id	id	empadronados	cobranzas_cargos
cargo_id	id	cobranzas_cargos	cobranzas_pagos
empadronado_id	id	empadronados	cobranzas_pagos
combo_id	id	combos	combo_items
product_id	id	products	combo_items
school_id	id	schools	combos
category_id	id	lunch_categories	configurable_plate_groups
group_id	id	configurable_plate_groups	configurable_plate_options
school_id	id	schools	daily_menu
school_id	id	schools	delivery_sessions
school_id	id	schools	electronic_documents
transaction_id	id	transactions	electronic_documents
school_id	id	schools	empadronados
payment_session_id	id	payment_sessions	gateway_webhook_events
school_id	id	schools	huella_digital_logs
school_id	id	schools	in_app_notifications
product_id	id	products	internal_transfer_items
transfer_id	id	internal_transfers	internal_transfer_items
from_school_id	id	schools	internal_transfers
to_school_id	id	schools	internal_transfers
superseded_by	id	inventory_guides	inventory_guides
category_id	id	inventory_categories	inventory_items
school_id	id	schools	inventory_items
location_id	id	inventory_locations	inventory_location_movements
product_id	id	products	inventory_location_movements
product_id	id	products	inventory_location_transfer_items
transfer_id	id	inventory_location_transfers	inventory_location_transfer_items
from_location_id	id	inventory_locations	inventory_location_transfers
