AUDITORIA ESTRUCTURAL — Bloque C2: funciones
Generado: 2026-06-19T07:07:32.358Z
Filas: 323
================================================================================

arguments	function_name	language	security	volatility
--------------------------------------------------------------------------------
p_master_id uuid, p_minor_id uuid	absorb_product	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_amount numeric	adjust_student_balance	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_delta numeric	adjust_student_wallet_balance	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_amount numeric, p_session_id uuid, p_gateway_ref_id text, p_gateway_tx_id text, p_payment_method text, p_description text, p_admin_id uuid	apply_gateway_credit	plpgsql	SECURITY DEFINER	VOLATILE
p_product_id uuid, p_school_id uuid, p_quantity integer, p_reason text	apply_initial_stock_adjustment	plpgsql	SECURITY DEFINER	VOLATILE
	apply_payment_recharge	plpgsql	SECURITY INVOKER	VOLATILE
p_receipt_id uuid, p_cost_items jsonb, p_prices_include_igv boolean	approve_branch_supply_receipt	plpgsql	SECURITY DEFINER	VOLATILE
p_request_id uuid, p_operation_number text, p_admin_notes text	approve_split_payment_voucher	plpgsql	SECURITY DEFINER	VOLATILE
	auto_close_cash_registers	plpgsql	SECURITY DEFINER	VOLATILE
	auto_hide_expired_menus	plpgsql	SECURITY INVOKER	VOLATILE
p_supplier_id uuid, p_doc_type text, p_doc_number text, p_evidence_url text, p_notes text, p_items jsonb	bulk_distribute_purchase	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_desde timestamp with time zone	buscar_sesion_izipay_reciente	sql	SECURITY DEFINER	STABLE
p_term text, p_role text, p_offset integer, p_limit integer	buscar_usuarios_admin	sql	SECURITY DEFINER	STABLE
p_school_id uuid, p_date date	calculate_daily_totals	plpgsql	SECURITY DEFINER	VOLATILE
p_product_id uuid, p_original_price numeric, p_category character varying, p_school_id uuid	calculate_discounted_price	plpgsql	SECURITY INVOKER	VOLATILE
p_order_id uuid	calculate_order_final_price	plpgsql	SECURITY INVOKER	VOLATILE
p_school_id uuid, p_start_date date, p_end_date date, p_school_ids uuid[]	calculate_range_totals	sql	SECURITY DEFINER	VOLATILE
p_school_id uuid, p_target_date date	can_cancel_lunch_order	plpgsql	SECURITY DEFINER	VOLATILE
p_order_date date	can_modify_lunch_order	plpgsql	SECURITY INVOKER	VOLATILE
p_school_id uuid, p_target_date date	can_order_lunch	plpgsql	SECURITY DEFINER	VOLATILE
	can_view_all_schools	sql	SECURITY DEFINER	STABLE
p_order_id uuid, p_cancelled_by uuid, p_reason text	cancel_lunch_order	plpgsql	SECURITY DEFINER	VOLATILE
p_order_id uuid, p_parent_id uuid	cancel_lunch_order_as_parent	plpgsql	SECURITY DEFINER	VOLATILE
p_lunch_order_id uuid, p_reason text	cancel_lunch_order_with_wallet_credit	plpgsql	SECURITY DEFINER	VOLATILE
p_transaction_id uuid, p_admin_id uuid, p_reason text, p_refund_method text	cancel_pos_sale	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_gateway text	check_active_gateway_session	sql	SECURITY DEFINER	STABLE
	check_is_admin	plpgsql	SECURITY DEFINER	VOLATILE
	check_is_superadmin	plpgsql	SECURITY DEFINER	VOLATILE
p_user_id uuid	check_onboarding_status	plpgsql	SECURITY INVOKER	VOLATILE
p_target_date date, p_school_id uuid	check_order_eligibility	plpgsql	SECURITY DEFINER	STABLE
	check_parent_has_school	plpgsql	SECURITY INVOKER	VOLATILE
p_items jsonb	check_stock_for_request	plpgsql	SECURITY DEFINER	VOLATILE
p_student_id uuid, p_amount numeric	check_student_spending_limit	plpgsql	SECURITY DEFINER	VOLATILE
p_user_id uuid, p_module character varying, p_action character varying	check_user_permission	plpgsql	SECURITY DEFINER	VOLATILE
p_user_id uuid, p_permission_name character varying	check_user_permission	plpgsql	SECURITY DEFINER	VOLATILE
p_operation_number text	check_voucher_usage	sql	SECURITY DEFINER	VOLATILE
	clean_old_audit_logs	plpgsql	SECURITY DEFINER	VOLATILE
	cleanup_old_errors	plpgsql	SECURITY INVOKER	VOLATILE
p_school_id uuid, p_date date	close_lunch_day	plpgsql	SECURITY DEFINER	VOLATILE
p_combo_id uuid	combo_has_sales	sql	SECURITY DEFINER	VOLATILE
p_school_id uuid, p_cashier_id uuid, p_lines jsonb, p_client_mode text, p_student_id uuid, p_teacher_id uuid, p_payment_method text, p_payment_metadata jsonb, p_billing_data jsonb, p_idempotency_key text, p_cash_given numeric, p_payment_splits jsonb, p_cash_session_id uuid	complete_pos_sale_v2	plpgsql	SECURITY DEFINER	VOLATILE
p_school_id uuid, p_status text, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_search_term text, p_collector_id uuid	count_billing_paid_transactions	plpgsql	SECURITY DEFINER	VOLATILE
p_school_id uuid, p_date_from text, p_date_to text, p_op_number text, p_ticket_number text, p_client_name text, p_reference text, p_payment_method text, p_week_number integer	count_payments_report	plpgsql	SECURITY DEFINER	VOLATILE
p_school_id uuid, p_date_from text, p_date_to text, p_ticket_code text, p_op_code text, p_payment_ref text, p_client_name text, p_seller_name text, p_payment_method text, p_payment_status text, p_include_deleted boolean	count_sales_report	plpgsql	SECURITY DEFINER	VOLATILE
p_email text, p_password text, p_full_name text, p_role text, p_school_id uuid, p_pos_number text, p_dmi text, p_phone text	create_admin_user	plpgsql	SECURITY DEFINER	VOLATILE
