AUDITORIA ESTRUCTURAL — Bloque C: triggers
Generado: 2026-06-19T07:07:23.659Z
Filas: 115
================================================================================

action	event	table_name	timing	trigger_name
--------------------------------------------------------------------------------
EXECUTE FUNCTION fn_touch_app_settings_updated_at()	UPDATE	app_settings	BEFORE	trg_touch_app_settings_updated_at
EXECUTE FUNCTION update_inventory_updated_at()	UPDATE	assets_inventory	BEFORE	trg_assets_updated
EXECUTE FUNCTION fn_update_auditoria_timestamp()	UPDATE	auditoria_vouchers	BEFORE	trg_auditoria_vouchers_updated
EXECUTE FUNCTION update_billing_payment_pending()	UPDATE	billing_payments	BEFORE	trigger_update_billing_payment_pending
EXECUTE FUNCTION update_billing_payment_pending()	INSERT	billing_payments	BEFORE	trigger_update_billing_payment_pending
EXECUTE FUNCTION fn_billing_queue_webhook()	INSERT	billing_queue	AFTER	tg_billing_queue_realtime
EXECUTE FUNCTION fn_guard_billing_queue_failed_message()	UPDATE	billing_queue	BEFORE	trg_guard_billing_queue_failed_message
EXECUTE FUNCTION fn_guard_billing_queue_failed_message()	INSERT	billing_queue	BEFORE	trg_guard_billing_queue_failed_message
EXECUTE FUNCTION log_billing_audit_event()	INSERT	cash_manual_entries	AFTER	trg_audit_cash_manual
EXECUTE FUNCTION log_billing_audit_event()	DELETE	cash_manual_entries	AFTER	trg_audit_cash_manual
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	cash_manual_entries	AFTER	trg_audit_cash_manual
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	cash_reconciliations	AFTER	trg_audit_cash_recon
EXECUTE FUNCTION log_billing_audit_event()	INSERT	cash_reconciliations	AFTER	trg_audit_cash_recon
EXECUTE FUNCTION update_updated_at_column()	UPDATE	cash_register_config	BEFORE	update_cash_config_updated_at
EXECUTE FUNCTION update_updated_at_column()	UPDATE	cash_registers	BEFORE	update_cash_registers_updated_at
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	cash_sessions	AFTER	trg_audit_cash_sessions
