AUDITORIA ESTRUCTURAL — Bloque D: columnas
Generado: 2026-06-19T07:07:51.802Z
Filas: 2224
================================================================================

column_default	column_name	data_type	is_nullable	table_name
--------------------------------------------------------------------------------
	id	uuid	NO	_backup_profiles_full_name_20260530
	email	text	YES	_backup_profiles_full_name_20260530
	full_name	text	YES	_backup_profiles_full_name_20260530
	updated_at	timestamp with time zone	YES	_backup_profiles_full_name_20260530
	backup_at	timestamp with time zone	NO	_backup_profiles_full_name_20260530
	product_id	uuid	NO	_rollback_stock_ctrl_20260524
	product_name	text	NO	_rollback_stock_ctrl_20260524
	stock_control_enabled	boolean	NO	_rollback_stock_ctrl_20260524
now()	snapshot_at	timestamp with time zone	NO	_rollback_stock_ctrl_20260524
uuid_generate_v4()	id	uuid	NO	allergies
	student_id	uuid	YES	allergies
	allergy_type	character varying	NO	allergies
	severity	character varying	YES	allergies
	notes	text	YES	allergies
	created_by	uuid	YES	allergies
now()	created_at	timestamp without time zone	YES	allergies
gen_random_uuid()	id	uuid	NO	alumnos
	padre_id	uuid	NO	alumnos
	nombres	text	NO	alumnos
	grado	text	NO	alumnos
	seccion	text	YES	alumnos
	codigo_interno	text	YES	alumnos
0.00	saldo_actual	numeric	YES	alumnos
	alergias	text	YES	alumnos
	tope_diario	numeric	YES	alumnos
	foto_url	text	YES	alumnos
timezone('utc'::text, now())	created_at	timestamp with time zone	NO	alumnos
	key	text	NO	app_config
'{}'::jsonb	value_json	jsonb	NO	app_config
clock_timestamp()	updated_at	timestamp with time zone	NO	app_config
	key	text	NO	app_settings
'{}'::jsonb	value	jsonb	NO	app_settings
	description	text	YES	app_settings
clock_timestamp()	updated_at	timestamp with time zone	NO	app_settings
uuid_generate_v4()	id	uuid	NO	assets_inventory
	code	text	YES	assets_inventory
	name	text	NO	assets_inventory
	category	text	YES	assets_inventory
	brand	text	YES	assets_inventory
	model	text	YES	assets_inventory
	serial_number	text	YES	assets_inventory
	school_id	uuid	YES	assets_inventory
	purchase_date	date	YES	assets_inventory
	purchase_price	numeric	YES	assets_inventory
'operational'::text	status	text	YES	assets_inventory
	notes	text	YES	assets_inventory
	image_url	text	YES	assets_inventory
now()	created_at	timestamp with time zone	YES	assets_inventory
now()	updated_at	timestamp with time zone	YES	assets_inventory
gen_random_uuid()	id	uuid	NO	audit_billing_logs
	table_name	text	NO	audit_billing_logs
	record_id	uuid	NO	audit_billing_logs
	action_type	text	NO	audit_billing_logs
	old_data	jsonb	YES	audit_billing_logs
	new_data	jsonb	YES	audit_billing_logs
	changed_by_user_id	uuid	YES	audit_billing_logs
	school_id	uuid	YES	audit_billing_logs
now()	created_at	timestamp with time zone	NO	audit_billing_logs
gen_random_uuid()	id	uuid	NO	audit_logs
	action	character varying	NO	audit_logs
	admin_user_id	uuid	YES	audit_logs
	target_user_email	character varying	YES	audit_logs
	target_user_id	uuid	YES	audit_logs
now()	timestamp	timestamp with time zone	YES	audit_logs
	details	text	YES	audit_logs
